Catcode	Catname	Catorder	Industry	Sector	Sector Long
F2600	Private Equity & Investment Firms	F07	Securities & Investment	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
D6000	Homeland Security contractors	D03	Misc Defense	Defense	Defense
X9000	Foreign Governments	W07	Other	Other	Other
F2700	Hedge Funds	F07	Securities & Investment	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
A1000	Crop production & basic processing	A01	Crop Production & Basic Processing	Agribusiness	Agribusiness
A1100	Cotton	A01	Crop Production & Basic Processing	Agribusiness	Agribusiness
A1200	Sugar cane & sugar beets	A01	Crop Production & Basic Processing	Agribusiness	Agribusiness
A1300	Tobacco & Tobacco products	A02	Tobacco	Agribusiness	Agribusiness
A1400	Vegetables, fruits and tree nut 	A01	Crop Production & Basic Processing	Agribusiness	Agribusiness
A1500	Wheat, corn, soybeans and cash grain 	A01	Crop Production & Basic Processing	Agribusiness	Agribusiness
A1600	Other commodities (incl rice, peanuts, honey) 	A01	Crop Production & Basic Processing	Agribusiness	Agribusiness
A2000	Milk & dairy producers	A04	Dairy	Agribusiness	Agribusiness
A2300	Poultry & eggs	A05	Poultry & Eggs	Agribusiness	Agribusiness
A3000	Livestock	A06	Livestock	Agribusiness	Agribusiness
A3100	Animal feed & health products	A07	Agricultural Services/Products	Agribusiness	Agribusiness
A3200	Sheep and Wool Producers	A06	Livestock	Agribusiness	Agribusiness
A3300	Feedlots & related livestock services	A06	Livestock	Agribusiness	Agribusiness
A4000	Agricultural services & related industries	A07	Agricultural Services/Products	Agribusiness	Agribusiness
A4100	Agricultural chemicals (fertilizers & pesticides)	A07	Agricultural Services/Products	Agribusiness	Agribusiness
A4200	Farm machinery & equipment	A07	Agricultural Services/Products	Agribusiness	Agribusiness
A4300	Grain traders & terminals	A07	Agricultural Services/Products	Agribusiness	Agribusiness
A4500	Veterinarians	A07	Agricultural Services/Products	Agribusiness	Agribusiness
A8000	Florists & Nursery Services	A07	Agricultural Services/Products	Agribusiness	Agribusiness
B0000	Construction & Public Works	C01	General Contractors	Construction	Construction
A5000	Forestry & Forest Products	A10	Forestry & Forest Products	Agribusiness	Agribusiness
A5200	Paper & pulp mills and paper manufacturing	A10	Forestry & Forest Products	Agribusiness	Agribusiness
A6000	Farm organizations & cooperatives	A07	Agricultural Services/Products	Agribusiness	Agribusiness
B0500	Builders associations	C01	General Contractors	Construction	Construction
B1500	Construction, unclassified 	C01	General Contractors	Construction	Construction
B2000	Residential construction	C02	Home Builders	Construction	Construction
C2200	Cable & satellite TV production & distribution	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
A0000	Agriculture	A11	Misc Agriculture	Agribusiness	Agribusiness
K1200	Corporate Lawyers & law firms	K01	Lawyers/Law Firms	Lawyers & Lobbyists	Lawyers & Lobbyists
E1100	Oil & Gas	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources
B2400	Mobile home construction	C02	Home Builders	Construction	Construction
B1000	Public works, industrial & commercial construction 	C01	General Contractors	Construction	Construction
B3000	Special trade contractors	C03	Special Trade Contractors	Construction	Construction
B3200	Electrical contractors	C03	Special Trade Contractors	Construction	Construction
B3400	Plumbing, heating & air conditioning 	C03	Special Trade Contractors	Construction	Construction
B3600	Landscaping & Excavation Svcs	C03	Special Trade Contractors	Construction	Construction
B4000	Engineering, architecture & construction mgmt svcs 	C04	Construction Services	Construction	Construction
B4200	Architectural services	C04	Construction Services	Construction	Construction
B4300	Surveying	C04	Construction Services	Construction	Construction
B4400	Engineers - type unknown	C04	Construction Services	Construction	Construction
B5000	Building materials	C05	Building Materials & Equipment	Construction	Construction
B5500	Electrical Supply	C05	Building Materials & Equipment	Construction	Construction
C2300	TV production & distribution	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
C2700	Movie Theaters	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
B5100	Stone, clay, glass & concrete products 	C05	Building Materials & Equipment	Construction	Construction
B5200	Lumber and wood products	C05	Building Materials & Equipment	Construction	Construction
B5300	Plumbing & pipe products	C05	Building Materials & Equipment	Construction	Construction
B5400	Other construction-related products	C05	Building Materials & Equipment	Construction	Construction
B6000	Construction equipment	C05	Building Materials & Equipment	Construction	Construction
C0000	Communications & Electronics	B00	Misc Communications/Electronics	Communic/Electronics	Communications/Electronics
C1000	Printing and publishing (printed & online)	B01	Printing & Publishing	Communic/Electronics	Communications/Electronics
C1100	Book, newspaper & periodical publishing 	B01	Printing & Publishing	Communic/Electronics	Communications/Electronics
C1300	Commercial printing & typesetting	B01	Printing & Publishing	Communic/Electronics	Communications/Electronics
C1400	Greeting card publishing	B01	Printing & Publishing	Communic/Electronics	Communications/Electronics
C2000	Entertainment Industry/Broadcast & Motion Pictures	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
C2100	Commercial TV & radio stations	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
Z4300	Third-Party Joint Candidate Committee	Z04	Joint Candidate Cmte	Joint Candidate Cmtes	Joint Candidate Cmtes
C2800	Bands, orchestras & other live music production 	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
C2400	Motion Picture production & distribution	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
C2600	Recorded Music & music production	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
D0000	Defense	D03	Misc Defense	Defense	Defense
D2000	Defense aerospace contractors	D01	Defense Aerospace	Defense	Defense
D3000	Defense electronic contractors	D02	Defense Electronics	Defense	Defense
C2900	Live theater & other entertainment productions	B02	TV/Movies/Music	Communic/Electronics	Communications/Electronics
C4000	Telecommunications	B09	Telecom Services & Equipment	Communic/Electronics	Communications/Electronics
C4100	Telephone utilities	B08	Telephone Utilities	Communic/Electronics	Communications/Electronics
C4200	Long-distance telephone & telegraph service	B08	Telephone Utilities	Communic/Electronics	Communications/Electronics
C4300	Cellular systems and equipment	B09	Telecom Services & Equipment	Communic/Electronics	Communications/Electronics
C4400	Satellite communications	B09	Telecom Services & Equipment	Communic/Electronics	Communications/Electronics
C4500	Other Communications Services	B09	Telecom Services & Equipment	Communic/Electronics	Communications/Electronics
C5140	Online computer services	B12	Computers/Internet	Communic/Electronics	Communications/Electronics
C4600	Telephone & communications equipment	B09	Telecom Services & Equipment	Communic/Electronics	Communications/Electronics
C5000	Electronics manufacturing & services	B11	Electronics Mfg & Services	Communic/Electronics	Communications/Electronics
C5100	Computer manufacture & services	B12	Computers/Internet	Communic/Electronics	Communications/Electronics
C5110	Computers, components & accessories 	B12	Computers/Internet	Communic/Electronics	Communications/Electronics
C5120	Computer software	B12	Computers/Internet	Communic/Electronics	Communications/Electronics
C5130	Data processing & computer services	B12	Computers/Internet	Communic/Electronics	Communications/Electronics
D4000	Defense Research & Development	D03	Misc Defense	Defense	Defense
D5000	Defense shipbuilders	D03	Misc Defense	Defense	Defense
D8000	Ground-based & other weapons systems	D03	Misc Defense	Defense	Defense
D9000	Defense-related services	D03	Misc Defense	Defense	Defense
E1000	Energy production & distribution	E07	Misc Energy	Energy/Nat Resource	Energy & Natural Resources
E0000	Energy, Natural Resources and Environment 	E07	Misc Energy	Energy/Nat Resource	Energy & Natural Resources
F5300	Tax return services	F13	Misc Finance	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
E1110	Major (multinational) oil & gas producers	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources
E1120	Independent oil & gas producers	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources
G3500	Import/Export services	N12	Misc Business	Misc Business	Misc Business
E1140	Natural Gas transmission & distribution	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources
E1150	Oilfield service, equipment & exploration 	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources
E1160	Petroleum refining & marketing	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources
E1170	Gasoline service stations	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources
E1180	Fuel oil dealers	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources
E1190	LPG/Liquid Propane dealers & producers	E01	Oil & Gas	Energy/Nat Resource	Energy & Natural Resources
E1200	Mining	E04	Mining	Energy/Nat Resource	Energy & Natural Resources
E1210	Coal mining	E04	Mining	Energy/Nat Resource	Energy & Natural Resources
E1220	Metal mining & processing	E04	Mining	Energy/Nat Resource	Energy & Natural Resources
E1230	Non-metallic mining	E04	Mining	Energy/Nat Resource	Energy & Natural Resources
E1240	Mining services & equipment	E04	Mining	Energy/Nat Resource	Energy & Natural Resources
E1300	Nuclear energy	E08	Electric Utilities	Energy/Nat Resource	Energy & Natural Resources
E1320	Nuclear plant construction, equipment & svcs 	E08	Electric Utilities	Energy/Nat Resource	Energy & Natural Resources
Z9000	Candidate contribution to his/her own campaign	Z07	Candidate Self-finance	Candidate	Candidate
T6250	Cruise ships & lines	M05	Sea Transport	Transportation	Transportation
J9100	Term limits	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
E3000	Waste management	E10	Waste Management	Energy/Nat Resource	Energy & Natural Resources
E1500	Alternate energy production & services	E07	Misc Energy	Energy/Nat Resource	Energy & Natural Resources
E1600	Electric Power utilities	E08	Electric Utilities	Energy/Nat Resource	Energy & Natural Resources
Z9100	Transfer between national party committees	Z08	Party Committee Transfer	Non-contribution	Non-contribution
Z4100	Republican Joint Candidate Committee	Z04	Joint Candidate Cmte	Joint Candidate Cmtes	Joint Candidate Cmtes
Z4200	Democratic Joint Candidate Committee	Z04	Joint Candidate Cmte	Joint Candidate Cmtes	Joint Candidate Cmtes
F5500	Other financial services	F13	Misc Finance	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F7000	Investors	F13	Misc Finance	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
G0000	General commerce	N12	Misc Business	Misc Business	Misc Business
G1000	General business associations	N00	Business Associations	Misc Business	Misc Business
F3100	Insurance companies, brokers & agents 	F09	Insurance	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F3300	Life insurance	F09	Insurance	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F3400	Property & casualty insurance	F09	Insurance	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F4000	Real estate	F10	Real Estate	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F4200	Real estate agents	F10	Real Estate	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F3200	Accident & health insurance	F09	Insurance	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F4600	Mortgage bankers and brokers	F10	Real Estate	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F4700	Other real estate services	F10	Real Estate	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F4100	Real Estate developers & subdividers	F10	Real Estate	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F4300	Title insurance & title abstract offices	F10	Real Estate	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F4400	Mobile home dealers & parks	F10	Real Estate	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F4500	Building operators and managers	F10	Real Estate	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F5200	Credit reporting services & collection agencies	F13	Misc Finance	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
G1100	Chambers of commerce	N00	Business Associations	Misc Business	Misc Business
G1200	Small business associations	N00	Business Associations	Misc Business	Misc Business
G1300	Pro-business associations	N00	Business Associations	Misc Business	Misc Business
G2000	Food & Beverage Products and Services	A09	Food Processing & Sales	Agribusiness	Agribusiness
F2300	Investment banking	F07	Securities & Investment	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F2400	Stock exchanges	F07	Securities & Investment	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F2500	Venture capital	F07	Securities & Investment	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F3000	Insurance	F09	Insurance	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F5000	Financial services & consulting	F13	Misc Finance	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
F5100	Accountants	F11	Accountants	Finance/Insur/RealEst	 Finance, Insurance & Real Estate 
G4500	Hardware & building materials stores	N03	Retail Sales	Misc Business	Misc Business
G4700	Catalog & mail order houses	N03	Retail Sales	Misc Business	Misc Business
G2300	Meat processing & products	A09	Food Processing & Sales	Agribusiness	Agribusiness
G2350	Fish Processing	N01	Food & Beverage	Misc Business	Misc Business
G2400	Food stores	A09	Food Processing & Sales	Agribusiness	Agribusiness
G2500	Food wholesalers	A09	Food Processing & Sales	Agribusiness	Agribusiness
G2600	Beverages (non-alcoholic)	N01	Food & Beverage	Misc Business	Misc Business
G2700	Beverage bottling & distribution	N01	Food & Beverage	Misc Business	Misc Business
G2800	Alcohol	N02	 Beer, Wine & Liquor 	Misc Business	Misc Business
G2810	Beer	N02	 Beer, Wine & Liquor 	Misc Business	Misc Business
G2820	Wine & distilled spirits manufacturing	N02	 Beer, Wine & Liquor 	Misc Business	Misc Business
G2840	Liquor stores	N02	 Beer, Wine & Liquor 	Misc Business	Misc Business
G2850	Liquor wholesalers	N02	 Beer, Wine & Liquor 	Misc Business	Misc Business
G2900	Restaurants & drinking establishments	N01	Food & Beverage	Misc Business	Misc Business
G2910	Food catering & food services	N01	Food & Beverage	Misc Business	Misc Business
G3000	Wholesale trade	N12	Misc Business	Misc Business	Misc Business
G4000	Retail trade	N03	Retail Sales	Misc Business	Misc Business
G4100	Apparel & accessory stores	N03	Retail Sales	Misc Business	Misc Business
G4600	Miscellaneous retail stores	N03	Retail Sales	Misc Business	Misc Business
G4800	Direct sales	N03	Retail Sales	Misc Business	Misc Business
G4850	Vending Machine Sales & Services	N03	Retail Sales	Misc Business	Misc Business
G4900	Drug stores	N03	Retail Sales	Misc Business	Misc Business
G5000	Services	N04	Misc Services	Misc Business	Misc Business
G5100	Beauty & barber shops	N04	Misc Services	Misc Business	Misc Business
G5200	Business services	N05	Business Services	Misc Business	Misc Business
G5210	Advertising & public relations services	N05	Business Services	Misc Business	Misc Business
G5220	Direct mail advertising services	N05	Business Services	Misc Business	Misc Business
G5230	Outdoor advertising services	N05	Business Services	Misc Business	Misc Business
H2200	Nursing homes	H02	Hospitals/Nursing Homes	Health	Health
H2300	Drug & alcohol treatment hospitals	H02	Hospitals/Nursing Homes	Health	Health
H3000	Health care services	H03	Health Services/HMOs	Health	Health
H3100	Home care services	H03	Health Services/HMOs	Health	Health
H3200	Outpatient health services (incl drug & alcohol)	H03	Health Services/HMOs	Health	Health
H3300	Optical services (glasses & contact lenses)	H03	Health Services/HMOs	Health	Health
H3400	Medical laboratories	H03	Health Services/HMOs	Health	Health
H3500	AIDS treatment & testing	H03	Health Services/HMOs	Health	Health
H3700	HMOs	H03	Health Services/HMOs	Health	Health
H3800	Mental Health Services	H03	Health Services/HMOs	Health	Health
H4000	Health care products	H04	Pharmaceuticals/Health Products	Health	Health
H4100	Medical supplies manufacturing & sales	H04	Pharmaceuticals/Health Products	Health	Health
H4200	Personal health care products	H04	Pharmaceuticals/Health Products	Health	Health
H4300	Pharmaceutical manufacturing	H04	Pharmaceuticals/Health Products	Health	Health
H4400	Pharmaceutical wholesale	H04	Pharmaceuticals/Health Products	Health	Health
H4500	Biotech products & research	H04	Pharmaceuticals/Health Products	Health	Health
H4600	Nutritional & dietary supplements	H04	Pharmaceuticals/Health Products	Health	Health
H5000	Education	W04	Education	Other	Other
H5100	Schools & colleges	W04	Education	Other	Other
H5150	Medical schools	W04	Education	Other	Other
H5170	Law schools	W04	Education	Other	Other
H5200	Technical, business and vocational schools & svcs 	W04	Education	Other	Other
H6000	Welfare & Social Work	W07	Other	Other	Other
J0000	Ideological & Single Issue PACs	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J1000	General Ideological	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J1100	Republican/Conservative	Q01	Republican/Conservative	Ideology/Single-Issue	Ideological/Single-Issue
J1300	Third-party committees	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J2000	Leadership committees	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue
J3000	Consumer groups	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J1200	Democratic/Liberal	Q02	Democratic/Liberal	Ideology/Single-Issue	Ideological/Single-Issue
J2300	Democratic officials, candidates & former members 	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue
J2200	Republican leadership PAC	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue
J2100	Democratic leadership PAC	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue
J2400	Republican officials, candidates & former members 	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue
J2500	Non-Federal candidate committees	Q03	Leadership PACs	Ideology/Single-Issue	Ideological/Single-Issue
J4000	Fiscal & tax policy	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J5000	Foreign policy	Q04	Foreign & Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue
J5100	Pro-Israel	Q05	Pro-Israel	Ideology/Single-Issue	Ideological/Single-Issue
J5200	Anti-Castro	Q04	Foreign & Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue
J6100	Anti-Guns	Q12	Gun Control	Ideology/Single-Issue	Ideological/Single-Issue
J6200	Pro-Guns	Q13	Gun Rights	Ideology/Single-Issue	Ideological/Single-Issue
J7000	Human Rights	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue
J7120	Abortion policy/Pro-Life	Q14	Abortion Policy/Pro-Life	Ideology/Single-Issue	Ideological/Single-Issue
J7150	Abortion policy/Pro-Choice	Q15	Abortion Policy/Pro-Choice	Ideology/Single-Issue	Ideological/Single-Issue
J7200	Elderly issues/Social Security	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J7300	Gay & lesbian rights & issues	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue
J7400	Women's issues	Q08	Women's Issues	Ideology/Single-Issue	Ideological/Single-Issue
J7500	Minority/Ethnic Groups	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue
J7600	Animal Rights	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J7700	Children's rights	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue
J8000	Labor, anti-union 	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
J9000	Other single-issue or ideological groups	Q10	Misc Issues	Ideology/Single-Issue	Ideological/Single-Issue
JD100	Defense policy, hawks 	Q04	Foreign & Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue
JD200	Defense policy, doves 	Q04	Foreign & Defense Policy	Ideology/Single-Issue	Ideological/Single-Issue
JE300	Environmental policy	Q11	Environment	Ideology/Single-Issue	Ideological/Single-Issue
JH100	Health & welfare policy	Q09	Human Rights	Ideology/Single-Issue	Ideological/Single-Issue
K0000	Legal Services	K01	Lawyers/Law Firms	Lawyers & Lobbyists	Lawyers & Lobbyists
K1000	Attorneys & law firms	K01	Lawyers/Law Firms	Lawyers & Lobbyists	Lawyers & Lobbyists
K2000	Lobbyists & Public Relations	K02	Lobbyists	Lawyers & Lobbyists	Lawyers & Lobbyists
K2100	Registered Foreign Agents	K02	Lobbyists	Lawyers & Lobbyists	Lawyers & Lobbyists
L0000	Labor Unions	P05	Misc Unions	Labor	Labor
L1000	Civil service & government unions	P04	Public Sector Unions	Labor	Labor
L1100	Federal employees unions	P04	Public Sector Unions	Labor	Labor
L1200	State & local govt employee unions	P04	Public Sector Unions	Labor	Labor
L1300	Teachers unions	P04	Public Sector Unions	Labor	Labor
L1400	Police & firefighters unions & associations	P04	Public Sector Unions	Labor	Labor
L5000	Other unions	P05	Misc Unions	Labor	Labor
L1500	US Postal Service unions & associations	P04	Public Sector Unions	Labor	Labor
LA100	Agricultural labor unions	P05	Misc Unions	Labor	Labor
LB100	Building trades unions	P01	Building Trade Unions	Labor	Labor
LC100	Communications & hi-tech unions	P02	Industrial Unions	Labor	Labor
LC150	IBEW (Intl Brotherhood of Electrical Workers)	P02	Industrial Unions	Labor	Labor
LD100	Defense-related unions	P05	Misc Unions	Labor	Labor
LE100	Mining unions	P02	Industrial Unions	Labor	Labor
LE200	Energy-related unions (non-mining)	P02	Industrial Unions	Labor	Labor
LG000	General commercial unions	P05	Misc Unions	Labor	Labor
LG100	Food service & related unions	P05	Misc Unions	Labor	Labor
LG200	Retail trade unions	P05	Misc Unions	Labor	Labor
LG300	Commercial service unions	P05	Misc Unions	Labor	Labor
LG400	Entertainment unions	P05	Misc Unions	Labor	Labor
LG500	Other commercial unions	P05	Misc Unions	Labor	Labor
